"country","year (Year)","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Croatia","amount"," "," "," "," ","5440639","8449330","8909896","7365294","3321001","1303472","1534870","1061452","1663166","2532517","10143200","25850823","9978290","10655000","14135000","4481000","3600000","2100000"
"Curacao","amount"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","22603000"," ","26130000"," "," "," "," "
"Cyprus","amount"," "," "," "," ","310000","100000","55000","260000","400000","580000","350000","274000","3000","124574","21519","500000","7011"," ","7309"," "," "," "
"Czech Republic","amount"," "," "," "," ","8240724","10762303","12000000","28359000","10145000","8003000","5993000","5111000","4567761","7509127","7892000","19857563","11153323","23399000","14400000","2748000","2800000","1800000"
"Democratic Republic of Congo (Kinshasa)","amount"," "," "," "," "," "," ","62143"," ","400943","512842","4468212","1919513","17052859","45272979","28905835","27840832","23517799","18283742","13557942"," ","16398810"," "
"Democratic Republic of the Congo (Kinshasa)","amount"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","12996000"," ","14435000"
"Denmark","amount"," "," "," "," ","102788","16000"," "," "," "," "," "," ","3326"," "," "," ","3574"," "," "," "," "," "
"Djibouti","amount"," "," "," "," ","1293428","640519","2113625","14239718","7097520","4896584","4567171","13598992","7876200","6647216","15042990","3000382","2016826","1633233","2492952","10188000","1100000","1000000"
"Dominica","amount","191000","233000","155000","235000","91638","356000","362999","81479","371280","259413","301698","225290","7800","119558","1972598","368750","299210","372054"," "," "," "," "
"Dominican Republic","amount","953030","1389600","1855975","2312955","1772208","4832300","1386891","2099862","3942879","3509950","5908112","6158492","18425134","3575325","13991161","8938792","8499176","2302557","4905234","753000","600000","600000"
"EUCOM Regional","amount"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","6593000","28057426"," "," "," "," "," "
"East Africa Regional","amount"," "," "," "," "," "," "," "," "," ","3968000"," "," "," ","5000000","12000000","9960000","87000000","10000000","37154500","110922158","165000000","200000000"
"East Asia and Pacific Regional","amount"," "," "," "," ","2769000","2198000","5472000","4975000","12907000","4661000","3800000","2950000","3853000","3800000","5961000","6397000","9001000","7999000","22715000","56315000","10210000","37090000"
"East and Southern Africa Regional","amount"," "," "," "," "," "," "," "," "," "," "," "," "," ","8570537"," "," "," "," "," "," "," "," "
"Eastern Caribbean Regional","amount","8500000","1500000","1500000"," ","1300000"," "," "," "," "," ","404000","703000","1283000"," ","783000","806000","845000","757000","804000"," ","840000"," "
"Ecuador","amount","2736531","2757250","5120000","12764778","26717979","20395709","39116978","37137360","41971276","32371842","31422055","31655607","27451535","27158786","32404782","13064476","9747744","9206652","730462"," "," "," "
"Egypt","amount"," "," "," "," ","1326020442","1300303436","1301467151","1335235637","1304172936","1291722229","1289862897","1335541463","1295392357","1305150348","1306321875","1311677763","1306911312","1241638842","1305283786","1305800000","1306300000","1306700000"
"El Salvador","amount","707000","621000","783000","827325","1386525","2765818","3240546","4724112","13031571","10441468","18646533","10726528","17240976","12457680","8454064","10828816","11332798","15127708","5603792","2549000","2900000","2700000"
"Equatorial Guinea","amount"," "," "," "," ","7462"," "," "," ","28867","101","70388","89668","44033","87081","23518","0","1835"," "," "," "," "," "
"Eritrea","amount"," "," "," "," ","541422","1216492","1969450","2781000","1766571","3113811","400000"," "," "," "," "," "," "," "," "," "," "," "
"Estonia","amount"," "," "," "," ","6939076","7906232","7814104","12910737","8382000","7143000","5797000","5084000","2687530","2854647","12864020","7581161","12524659","8013000","8511000","38832000","3200000","2800000"
"Ethiopia","amount"," "," "," "," ","409462","14281","4541982","4901611","3225736","8034102","3427838","12981061","17306458","12569500","2924734","4385397","5619568","1389642","1572135","25155611","1270000","1070000"
"Eurasia Regional","amount"," "," "," "," ","300000","31240000","34000000","131450000","112805000","86172000","95469000","89837000","26906000","202203000","183204000","248202000","1450000"," "," "," "," "," "
"Europe Regional","amount"," "," "," "," "," "," "," ","539000","600000","709000","1640000","2125000","2500000","4335000","6280577","3750000","3800000"," "," "," "," "," "
"Europe and Eurasia Regional","amount"," "," "," "," ","7094000","74886000","98941000","82188000","78595000","2607000","28526000","28161000","24688000","29112000","29243000","28565000","28407000","31926000","33182000","55699000","134149000","101300000"
